id,text
1,"Expect a letter from a friend who will ask a favor of you."
2,"You are taking yourself far too seriously."
3,"Bank error in your favor.  Collect $200."
4,"Your true value depends entirely on what you are compared with."
5,"Don't let your mind wander -- it's too little to be let out alone."
6,"You will be imprisoned for contributing your time and skill to a bank robbery."
7,"Whenever you find that you are on the side of the majority, it is time to reform."
8,"You are confused; but this is your normal state."
9,"Don't read everything you believe."
10,"Keep it short for pithy sake."
11,"Abandon the search for Truth; settle for a good fantasy."
12,"Try to relax and enjoy the crisis."
13,"You will be awarded some great honor."
14,"Tuesday After Lunch is the cosmic time of the week."
15,"Blow it out your ear."
16,"You definitely intend to start living sometime soon."
17,"Don't tell any big lies today.  Small ones can be just as effective."
18,"Don't worry, be happy."
19,"Another good night not to sleep in a eucalyptus tree."
